Translation_SV;Translation_category;Abs_fq_Core_CS;perc_Core_CS;Abs_fq_Europarl_CS;perc_Europarl_CS;Abs_fq_Core_SV;perc_Core_SV;Abs_fq_Europarl_SV;perc_Europarl_SV;Acquis;perc_Acquis
bara;degree;0;0,00000000000000000;0;0,00000000000000000;1;0,004;0;0,00000000000000000;0;0,00000000000000000
då;example;0;0,00000000000000000;0;0,00000000000000000;1;0,004;0;0,00000000000000000;0;0,00000000000000000
eller så;example;0;0,00000000000000000;0;0,00000000000000000;2;0,008;0;0,00000000000000000;0;0,00000000000000000
eller ens;low possibility;0;0,00000000000000000;0;0,00000000000000000;1;0,004;0;0,00000000000000000;1;0,00331125827814570
en;example;2;0,00469483568075117;0;0,00000000000000000;0;0,000;0;0,00000000000000000;1;0,00331125827814570
error;error;9;0,02112676056338030;3;0,01048951048951050;2;0,008;1;0,00340136054421769;2;0,00662251655629139
eventuellt;eventuality;1;0,00234741784037559;0;0,00000000000000000;0;0,000;0;0,00000000000000000;0;0,00000000000000000
exempelvis;example;1;0,00234741784037559;2;0,00699300699300699;2;0,008;0;0,00000000000000000;0;0,00000000000000000
förstås;high possibility;1;0,00234741784037559;0;0,00000000000000000;0;0,000;0;0,00000000000000000;4;0,01324503311258280
gärna;modality;1;0,00234741784037559;0;0,00000000000000000;1;0,004;0;0,00000000000000000;0;0,00000000000000000
händelsevis;low possibility;1;0,00234741784037559;0;0,00000000000000000;0;0,000;0;0,00000000000000000;0;0,00000000000000000
i princip;medium possibility;0;0,00000000000000000;0;0,00000000000000000;1;0,004;0;0,00000000000000000;0;0,00000000000000000
i stället;example;0;0,00000000000000000;0;0,00000000000000000;1;0,004;0;0,00000000000000000;0;0,00000000000000000
ibland;degree;2;0,00469483568075117;1;0,00349650349650350;0;0,000;0;0,00000000000000000;0;0,00000000000000000
ju;high possibility;3;0,00704225352112676;0;0,00000000000000000;0;0,000;0;0,00000000000000000;0;0,00000000000000000
kanhända;low possibility;1;0,00234741784037559;0;0,00000000000000000;0;0,000;0;0,00000000000000000;0;0,00000000000000000
kanske;low possibility;112;0,26291079812206603;6;0,02097902097902100;100;0,400;3;0,01020408163265310;0;0,00000000000000000
lagom;other;0;0,00000000000000000;0;0,00000000000000000;1;0,004;0;0,00000000000000000;0;0,00000000000000000
lika gärna;degree;0;0,00000000000000000;0;0,00000000000000000;1;0,004;0;0,00000000000000000;0;0,00000000000000000
måhända;low possibility;0;0,00000000000000000;0;0,00000000000000000;2;0,008;0;0,00000000000000000;0;0,00000000000000000
möjligen;low possibility;0;0,00000000000000000;0;0,00000000000000000;4;0,016;0;0,00000000000000000;0;0,00000000000000000
nog;low possibility;2;0,00469483568075117;0;0,00000000000000000;0;0,000;0;0,00000000000000000;0;0,00000000000000000
någon;degree;1;0,00234741784037559;1;0,00349650349650350;0;0,000;0;0,00000000000000000;0;0,00000000000000000
nödvändigt;necessity;0;0,00000000000000000;1;0,00349650349650350;0;0,000;0;0,00000000000000000;0;0,00000000000000000
också;degree;4;0,00938967136150235;0;0,00000000000000000;0;0,000;0;0,00000000000000000;0;0,00000000000000000
ofta;other;1;0,00234741784037559;0;0,00000000000000000;0;0,000;0;0,00000000000000000;0;0,00000000000000000
om så bara;modality;10;0,02347417840375590;0;0,00000000000000000;0;0,000;0;0,00000000000000000;0;0,00000000000000000
omkring;(numbers);0;0,00000000000000000;1;0,00349650349650350;0;0,000;0;0,00000000000000000;2;0,00662251655629139
som;example;0;0,00000000000000000;0;0,00000000000000000;1;0,004;0;0,00000000000000000;0;0,00000000000000000
till exempel;example;84;0,19718309859154901;7;0,02447552447552450;13;0,052;1;0,00340136054421769;0;0,00000000000000000
till och med ;degree;2;0,00469483568075117;0;0,00000000000000000;2;0,008;0;0,00000000000000000;0;0,00000000000000000
tvärtom;degree;0;0,00000000000000000;0;0,00000000000000000;1;0,004;0;0,00000000000000000;0;0,00000000000000000
utan vidare;degree;1;0,00234741784037559;0;0,00000000000000000;0;0,000;0;0,00000000000000000;3;0,00993377483443709
vad som helst;indifference;1;0,00234741784037559;0;0,00000000000000000;0;0,000;0;0,00000000000000000;1;0,00331125827814570
varför inte;indifference;0;0,00000000000000000;0;0,00000000000000000;1;0,004;0;0,00000000000000000;0;0,00000000000000000
vilket som helst;indifference;1;0,00234741784037559;0;0,00000000000000000;0;0,000;0;0,00000000000000000;3;0,00993377483443709
än;degree;0;0,00000000000000000;0;0,00000000000000000;1;0,004;0;0,00000000000000000;0;0,00000000000000000
även om;modality;0;0,00000000000000000;0;0,00000000000000000;2;0,008;0;0,00000000000000000;0;0,00000000000000000
other;other;4;0,00938967136150235;0;0,00000000000000000;21;0,084;0;0,00000000000000000;0;0,00000000000000000
zero;zero;61;0,14319248826291101;9;0,03146853146853150;29;0,116;1;0,00340136054421769;11;0,03642384105960260
constr_w_natož;other;2;0,00469483568075117;2;0,00699300699300699;0;0,000;0;0,00000000000000000;0;0,00000000000000000
constr_w_jako;other;1;0,00234741784037559;0;0,00000000000000000;2;0,008;0;0,00000000000000000;1;0,00331125827814570
modal+ je třeba;other;117;0,27464788732394402;253;0,88461538461538503;57;0,228;288;0,97959183673469397;273;0,90397350993377501
