Cat_nr	Translation_category	Translation_SV
2	present tense adv	aktuell
1	recent past adv	alldeles nyss
4	focus part neg	bara
1	recent past adv	direkt
4	focus part neg	dock
11	error	error
5	exactly	exakt
3	focus part pos	faktiskt
3	focus part pos	framför allt
3	focus part pos	följaktligen
2	present tense adv	för dagen
2	present tense adv	för närvarande
2	present tense adv	för tillfället
2	present tense adv	för ögonblicket
3	focus part pos	förstås
5	exactly	helt
4	focus part neg	i själva verket
4	focus part neg	i stället
2	present tense adv	inom kort
3	focus part pos	inte minst
5	exactly	ja visst
3	focus part pos	ju
3	focus part pos	just: focus part
9	just (därför)	just (därför) + proto
2	present tense adv	just nu
8	just (tense)	just (tense)
4	focus part neg	kanske
10	other	lagom
2	present tense adv	med ens
3	focus part pos	naturligtvis
2	present tense adv	nu
2	present tense adv	nuvarande
1	recent past adv	nyligen
1	recent past adv	nyss
3	focus part pos	nämligen
3	focus part pos	också
2	present tense adv	omedelbart 
12	other	other
1	recent past adv	ovan
3	focus part pos	precis
1	recent past adv	redan
5	exactly	riktigt
2	present tense adv	rådande
3	focus part pos	samma
1	recent past adv	senast
3	focus part pos	själv/a
4	focus part neg	snarare
2	present tense adv	snart
3	focus part pos	speciellt
6	species	species
7	determinative (species)	species det
2	present tense adv	strax
5	exactly	stämmer
1	recent past adv	så sent som
3	focus part pos	särskilt
13	(tense prog+)	tense prog + 
3	focus part pos	till och med
3	focus part pos	verkligen
15	zero	zero
