Translation_to_SV	Abs_fq_Core_CS	perc_Core_CS	Abs_fq_Europarl_CS	ipm_Europarl_CS	Abs_fq_Core_SV	perc_Core_SV	Abs_fq_Europarl_SV	ipm_Europarl_SV	Acquis	perc_Acquis
aktuell	0	0	0	0	0	0	0	0	1	0.005
alldeles nyss	0	0	0	0	0	0	1	2.73412621359223	0	0
bara	1	0.004	0	0	0	0	1	2.73412621359223	0	0
direkt	0	0	0	0	1	0.005	0	0	0	0
dock	0	0	0	0	0	0	1	2.73412621359223	0	0
error	3	0.012	6	22.3547511312217	0	0	15	41.0118932038835	7	0.035
exakt	0	0	0	0	1	0.005	0	0	0	0
faktiskt	0	0	1	3.72579185520362	0	0	0	0	0	0
framför allt	0	0	0	0	0	0	0	0	2	0.01
följaktligen	0	0	1	3.72579185520362	0	0	0	0	0	0
för dagen	0	0	0	0	0	0	0	0	1	0.005
för närvarande	0	0	3	11.1773755656109	1	0.005	0	0	5	0.025
för tillfället	2	0.008	0	0	0	0	0	0	1	0.005
för ögonblicket	1	0.004	0	0	0	0	0	0	0	0
förstås	1	0.004	0	0	1	0.005	0	0	0	0
helt	0	0	0	0	0	0	0	0	1	0.005
i själva verket	1	0.004	1	3.72579185520362	0	0	1	2.73412621359223	0	0
i stället	0	0	0	0	0	0	0	0	1	0.005
inom kort	0	0	0	0	0	0	0	0	0	0
inte minst	0	0	0	0	0	0	0	0	1	0.005
ja visst	1	0.004	0	0	0	0	0	0	0	0
ju	1	0.004	0	0	1	0.005	0	0	1	0.005
just: focus part	86	0.344	19	70.7900452488688	30	0.15	39	106.630922330097	22	0.11
just (därför) + proto	8	0.032	7	26.0805429864253	4	0.02	0	0	0	0
just nu	11	0.044	3	11.1773755656109	11	0.055	13	35.543640776699	0	0
just (tense)	61	0.244	3	11.1773755656109	34	0.17	1	2.73412621359223	5	0.025
kanske	2	0.008	0	0	0	0	0	0	0	0
lagom	0	0	0	0	1	0.005	0	0	0	0
med ens	1	0.004	0	0	0	0	0	0	0	0
naturligtvis	1	0.004	0	0	0	0	0	0	0	0
nu	5	0.02	4	14.9031674208145	13	0.065	13	35.543640776699	2	0.01
nuvarande	0	0	0	0	0	0	0	0	1	0.005
nyligen	0	0	1	3.72579185520362	2	0.01	0	0	7	0.035
nyss	2	0.008	0	0	5	0.025	2	5.46825242718447	1	0.005
nämligen	1	0.004	0	0	0	0	1	2.73412621359223	0	0
också	1	0.004	0	0	1	0.005	1	2.73412621359223	0	0
omedelbart 	0	0	0	0	0	0	0	0	1	0.005
other	18	0.072	18	67.0642533936652	23	0.115	12	32.8095145631068	8	0.04
ovan	0	0	0	0	0	0	0	0	1	0.005
precis	7	0.028	1	3.72579185520362	14	0.07	6	16.4047572815534	0	0
redan	0	0	1	3.72579185520362	0	0	1	2.73412621359223	1	0.005
riktigt	1	0.004	0	0	0	0	0	0	0	0
rådande	0	0	1	3.72579185520362	0	0	0	0	0	0
samma	1	0.004	0	0	1	0.005	0	0	0	0
senast	1	0.004	0	0	0	0	1	2.73412621359223	0	0
själv/a	0	0	1	3.72579185520362	0	0	0	0	0	0
snarare	0	0	0	0	0	0	0	0	1	0.005
snart	0	0	0	0	0	0	0	0	1	0.005
speciellt	1	0.004	0	0	0	0	0	0	0	0
species	3	0.012	9	33.5321266968326	3	0.015	10	27.3412621359223	10	0.05
species det	3	0.012	10	37.2579185520362	13	0.065	42	114.833300970874	8	0.04
strax	1	0.004	0	0	1	0.005	0	0	0	0
stämmer	1	0.004	0	0	0	0	0	0	0	0
så sent som	0	0	0	0	0	0	1	2.73412621359223	0	0
särskilt	1	0.004	2	7.45158371040724	0	0	0	0	4	0.02
tense prog + 	9	0.036	2	7.45158371040724	10	0.05	3	8.2023786407767	42	0.21
till och med	1	0.004	0	0	0	0	0	0	0	0
verkligen	0	0	1	3.72579185520362	0	0	0	0	0	0
zero	12	0.048	126	469.449773755656	30	0.15	41	112.099174757282	64	0.32
